1714056277.945644 client started (41856): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1714056277.945758 on Darwin 23.4.0 Darwin Kernel Version 23.4.0: Fri Mar 15 00:12:41 PDT 2024; root:xnu-10063.101.17~1/RELEASE_ARM64_T8103
1714056277.946140 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1714056277.950324 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950329 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950335 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950342 sending message 112 to peer 0x150028000 (8 bytes)
1714056277.950347 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950353 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950359 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950365 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950371 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950377 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950382 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950388 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950395 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950401 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950407 sending message 112 to peer 0x150028000 (8 bytes)
1714056277.950413 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950419 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950426 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950431 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950437 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950443 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950459 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950466 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950472 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950479 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950484 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950490 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950496 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950502 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950508 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950513 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950519 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950525 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950530 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950536 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950542 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950548 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950554 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950560 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950566 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950572 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950578 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950584 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950590 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950596 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950602 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950608 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950614 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950620 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950627 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950633 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950639 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.950645 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950651 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950657 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950663 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950670 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950675 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.950682 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950687 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950693 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950699 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950704 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950710 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950715 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950721 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950726 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.950733 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950739 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950745 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950750 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950756 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950763 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950768 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.950774 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950780 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950786 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950792 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950798 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950803 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950810 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.950824 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950830 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950837 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950843 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950849 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950855 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950861 sending message 112 to peer 0x150028000 (11 bytes)
1714056277.950867 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950873 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950879 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950885 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950891 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950897 sending message 112 to peer 0x150028000 (21 bytes)
1714056277.950903 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950910 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.950915 sending message 112 to peer 0x150028000 (6 bytes)
1714056277.950921 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950927 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950933 sending message 112 to peer 0x150028000 (24 bytes)
1714056277.950939 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950945 sending message 112 to peer 0x150028000 (9 bytes)
1714056277.950951 sending message 112 to peer 0x150028000 (70 bytes)
1714056277.950957 sending message 112 to peer 0x150028000 (69 bytes)
1714056277.950963 sending message 112 to peer 0x150028000 (12 bytes)
1714056277.950969 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950976 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.950982 sending message 112 to peer 0x150028000 (24 bytes)
1714056277.950988 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.950994 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.951000 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.951005 sending message 112 to peer 0x150028000 (10 bytes)
1714056277.951011 sending message 112 to peer 0x150028000 (13 bytes)
1714056277.951017 sending message 112 to peer 0x150028000 (15 bytes)
1714056277.951025 sending message 112 to peer 0x150028000 (5 bytes)
1714056277.951033 sending message 104 to peer 0x150028000 (0 bytes)
1714056277.951041 sending message 110 to peer 0x150028000 (0 bytes)
1714056277.951047 sending message 107 to peer 0x150028000 (4 bytes)
1714056277.951053 sending message 105 to peer 0x150028000 (60 bytes)
1714056277.951059 sending message 105 to peer 0x150028000 (66 bytes)
1714056277.951065 sending message 105 to peer 0x150028000 (27 bytes)
1714056277.951071 sending message 105 to peer 0x150028000 (15 bytes)
1714056277.951077 sending message 105 to peer 0x150028000 (22 bytes)
1714056277.951083 sending message 105 to peer 0x150028000 (14 bytes)
1714056277.951089 sending message 105 to peer 0x150028000 (17 bytes)
1714056277.951095 sending message 105 to peer 0x150028000 (30 bytes)
1714056277.951101 sending message 105 to peer 0x150028000 (15 bytes)
1714056277.951107 sending message 105 to peer 0x150028000 (43 bytes)
1714056277.951114 sending message 105 to peer 0x150028000 (24 bytes)
